timestamp,site,connected,total,expected_total,status,note
2025-08-11 18:52:17,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-11 18:53:00,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 11:01:21,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 11:01:49,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 11:02:03,Warburg2,92,92,92,OK,All connected
2025-08-31 11:02:17,Yahel,92,92,92,OK,All connected
2025-08-31 11:02:30,Tidhar,92,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 11:07:44,Warburg3,,,66,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:08:04,Zikim,,,82,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:08:24,Warburg2,,,92,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:08:44,Yahel,,,92,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:09:04,Tidhar,,,134,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:14:24,Warburg3,,,66,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:14:44,Zikim,,,82,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:15:05,Warburg2,,,92,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:15:25,Yahel,,,92,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
2025-08-31 11:15:46,Tidhar,,,134,ERROR,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x127a8a3+63283]
	GetHandleVerifier [0x0x127a8e4+63348]
	(No symbol) [0x0x10b3e43]
	(No symbol) [0x0x10fc8de]
	(No symbol) [0x0x10fcc7b]
	(No symbol) [0x0x1144ef2]
	(No symbol) [0x0x1121464]
	(No symbol) [0x0x114271a]
	(No symbol) [0x0x1121216]
	(No symbol) [0x0x10f0855]
	(No symbol) [0x0x10f16f4]
	GetHandleVerifier [0x0x14ebb43+2623955]
	GetHandleVerifier [0x0x14e6daa+2604090]
	GetHandleVerifier [0x0x12a069a+218410]
	GetHandleVerifier [0x0x1290ed8+154984]
	GetHandleVerifier [0x0x129742d+180925]
	GetHandleVerifier [0x0x12822b8+94536]
	GetHandleVerifier [0x0x1282442+94930]
	GetHandleVerifier [0x0x126d5ea+9338]
	BaseThreadInitThunk [0x0x769f5d49+25]
	RtlInitializeExceptionChain [0x0x772ed6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772ed661+561]
"
